date,PRCP,station,SNOW,SNWD,TMAX,TMIN,WT08,WT16,WT03,WT01,WT18,TSUN,WT02,WT05,PGTM,AWND,FMTM,WDF2,WDF5,WSF2,WSF5,WT13,TAVG,WT07
1961-12-30T00:00:00,0.07,GHCND:USW00013897,0.7,0.0,40.0,19.0,,,,,1.0,,,,,,,,,,,,,
1962-10-01T00:00:00,0.8,GHCND:USW00013897,0.0,0.0,72.0,51.0,,1.0,,1.0,,,,,,,,,,,,,,
1962-10-02T00:00:00,0.84,GHCND:USW00013897,0.0,0.0,78.0,62.0,,1.0,,1.0,,,,,,,,,,,,,,
1962-10-03T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,77.0,54.0,,,,,,,,,,,,,,,,,,
1962-10-04T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,77.0,54.0,1.0,,,,,,,,,,,,,,,,,
1962-10-05T00:00:00,0.02,GHCND:USW00013897,0.0,0.0,83.0,55.0,,1.0,,,,,,,,,,,,,,,,
1962-10-06T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,76.0,62.0,1.0,1.0,,,,,,,,,,,,,,,,
1962-10-07T00:00:00,0.04,GHCND:USW00013897,0.0,0.0,83.0,60.0,,1.0,1.0,,,,,,,,,,,,,,,
1962-10-08T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,84.0,60.0,1.0,,,1.0,,,,,,,,,,,,,,
1962-10-09T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,83.0,54.0,1.0,,,1.0,,,,,,,,,,,,,,
1962-10-10T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,86.0,54.0,,,,,,,,,,,,,,,,,,
1962-10-11T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,84.0,54.0,,,,,,,,,,,,,,,,,,
1962-10-12T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,86.0,58.0,,,,,,,,,,,,,,,,,,
1962-10-13T00:00:00,0.06,GHCND:USW00013897,0.0,0.0,84.0,66.0,1.0,1.0,,,,,,,,,,,,,,,,
1962-10-14T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,85.0,65.0,,,,,,,,,,,,,,,,,,
1962-10-15T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,86.0,63.0,,,,,,,,,,,,,,,,,,
1962-10-16T00:00:00,0.36,GHCND:USW00013897,0.0,0.0,84.0,66.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
1962-10-17T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,72.0,54.0,,,,1.0,,,,,,,,,,,,,,
1962-10-18T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,73.0,47.0,,,,,,,,,,,,,,,,,,
1962-10-19T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,79.0,46.0,,,,,,,,,,,,,,,,,,
1962-10-20T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,84.0,50.0,,1.0,,,,,,,,,,,,,,,,
1962-10-21T00:00:00,0.17,GHCND:USW00013897,0.0,0.0,69.0,50.0,,1.0,,1.0,,,,,,,,,,,,,,
1962-10-22T00:00:00,0.0,GHCND:USW00013897,0.0,0.0,70.0,43.0,,,,1.0,,,,,,,,,,,,,,
