date,PGTM,station,PRCP,SNOW,SNWD,TMAX,TMIN,WT08,WT01,WT16,WT18,WT03,TSUN,WT02,WT05,AWND,FMTM,WDF2,WSF2,WT13,TAVG,WDF5,WSF5,WT07
1961-10-21T00:00:00,724.0,GHCND:USW00013743,1.49,0.0,0.0,63.0,53.0,,1.0,1.0,,,,,,,,,,,,,,
1961-10-22T00:00:00,306.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,52.0,,,1.0,,,,,,,,,,,,,,
1961-10-23T00:00:00,748.0,GHCND:USW00013743,0.0,0.0,0.0,60.0,42.0,,,,,,,,,,,,,,,,,
1961-10-24T00:00:00,1400.0,GHCND:USW00013743,0.0,0.0,0.0,62.0,40.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-25T00:00:00,2336.0,GHCND:USW00013743,0.0,0.0,0.0,71.0,46.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-26T00:00:00,900.0,GHCND:USW00013743,0.0,0.0,0.0,64.0,45.0,,,1.0,,,,,,,,,,,,,,
1961-10-27T00:00:00,900.0,GHCND:USW00013743,0.0,0.0,0.0,59.0,40.0,,,,,,,,,,,,,,,,,
1961-10-28T00:00:00,2030.0,GHCND:USW00013743,0.0,0.0,0.0,60.0,35.0,1.0,1.0,,,,,,,,,,,,,,,
1961-10-29T00:00:00,54.0,GHCND:USW00013743,0.0,0.0,0.0,70.0,41.0,,,,,,,,,,,,,,,,,
1961-10-30T00:00:00,1442.0,GHCND:USW00013743,0.02,0.0,0.0,78.0,50.0,,,1.0,,,,,,,,,,,,,,
1961-10-31T00:00:00,1342.0,GHCND:USW00013743,0.0,0.0,0.0,80.0,59.0,,,,,,,,,,,,,,,,,
1961-11-01T00:00:00,1124.0,GHCND:USW00013743,0.0,0.0,0.0,72.0,53.0,,,,,,,,,,,,,,,,,
1961-11-02T00:00:00,1648.0,GHCND:USW00013743,0.0,0.0,0.0,65.0,47.0,,,1.0,,,,,,,,,,,,,,
1961-11-03T00:00:00,1718.0,GHCND:USW00013743,0.0,0.0,0.0,77.0,61.0,,,1.0,,,,,,,,,,,,,,
1961-11-04T00:00:00,1136.0,GHCND:USW00013743,0.0,0.0,0.0,78.0,65.0,,,1.0,,,,,,,,,,,,,,
1961-11-05T00:00:00,1254.0,GHCND:USW00013743,0.0,0.0,0.0,81.0,65.0,,,,,,,,,,,,,,,,,
1961-11-06T00:00:00,1736.0,GHCND:USW00013743,0.0,0.0,0.0,69.0,57.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-11-07T00:00:00,800.0,GHCND:USW00013743,0.36,0.0,0.0,59.0,42.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-11-08T00:00:00,1454.0,GHCND:USW00013743,0.0,0.0,0.0,52.0,38.0,,,,,,,,,,,,,,,,,
1961-11-09T00:00:00,1136.0,GHCND:USW00013743,0.0,0.0,0.0,47.0,35.0,,,,,,,,,,,,,,,,,
1961-11-10T00:00:00,1348.0,GHCND:USW00013743,0.0,0.0,0.0,49.0,35.0,,,,,,,,,,,,,,,,,
1961-11-11T00:00:00,1400.0,GHCND:USW00013743,0.0,0.0,0.0,55.0,31.0,1.0,,,,,,,,,,,,,,,,
1961-11-12T00:00:00,1142.0,GHCND:USW00013743,0.0,0.0,0.0,57.0,39.0,1.0,,1.0,,,,,,,,,,,,,,
1961-11-13T00:00:00,1400.0,GHCND:USW00013743,0.0,0.0,0.0,67.0,54.0,1.0,1.0,,,,,,,,,,,,,,,
1961-11-14T00:00:00,636.0,GHCND:USW00013743,0.22,0.0,0.0,63.0,57.0,,1.0,1.0,,,,,,,,,,,,,,
1961-11-15T00:00:00,954.0,GHCND:USW00013743,0.0,0.0,0.0,63.0,52.0,1.0,1.0,,,,,,,,,,,,,,,
1961-11-16T00:00:00,2000.0,GHCND:USW00013743,0.1,0.0,0.0,59.0,51.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-11-17T00:00:00,936.0,GHCND:USW00013743,0.0,0.0,0.0,61.0,45.0,,1.0,1.0,,,,,,,,,,,,,,
1961-11-18T00:00:00,1118.0,GHCND:USW00013743,0.0,0.0,0.0,47.0,37.0,,,,,,,,,,,,,,,,,
1961-11-19T00:00:00,948.0,GHCND:USW00013743,0.24,0.8,0.0,42.0,32.0,,1.0,1.0,1.0,,,,,,,,,,,,,
1961-11-20T00:00:00,1336.0,GHCND:USW00013743,0.11,0.5,1.0,41.0,33.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1961-11-21T00:00:00,1142.0,GHCND:USW00013743,0.0,0.0,0.0,49.0,37.0,,,,,,,,,,,,,,,,,
1961-11-22T00:00:00,348.0,GHCND:USW00013743,0.0,0.0,0.0,48.0,29.0,,,,,,,,,,,,,,,,,
1961-11-23T00:00:00,1824.0,GHCND:USW00013743,0.51,0.0,0.0,54.0,37.0,,1.0,1.0,,,,,,,,,,,,,,
1961-11-24T00:00:00,1412.0,GHCND:USW00013743,0.21,0.0,0.0,54.0,45.0,,1.0,1.0,,,,,,,,,,,,,,
1961-11-25T00:00:00,12.0,GHCND:USW00013743,0.0,0.0,0.0,57.0,39.0,,,,,,,,,,,,,,,,,
1961-11-26T00:00:00,1506.0,GHCND:USW00013743,0.0,0.0,0.0,60.0,35.0,1.0,1.0,,,,,,,,,,,,,,,
1961-11-27T00:00:00,2018.0,GHCND:USW00013743,0.0,0.0,0.0,58.0,37.0,1.0,,1.0,,,,,,,,,,,,,,
1961-11-28T00:00:00,1236.0,GHCND:USW00013743,0.0,0.0,0.0,42.0,32.0,,,,,,,,,,,,,,,,,
1961-11-29T00:00:00,1248.0,GHCND:USW00013743,0.0,0.0,0.0,44.0,33.0,,,,,,,,,,,,,,,,,
1961-11-30T00:00:00,1048.0,GHCND:USW00013743,0.0,0.0,0.0,53.0,33.0,1.0,,,,,,,,,,,,,,,,
1961-12-01T00:00:00,1118.0,GHCND:USW00013743,0.0,0.0,0.0,53.0,31.0,1.0,,,,,,,,,,,,,,,,
1961-12-02T00:00:00,1206.0,GHCND:USW00013743,0.0,0.0,0.0,49.0,34.0,1.0,,1.0,,,,,,,,,,,,,,
1961-12-03T00:00:00,1112.0,GHCND:USW00013743,0.0,0.0,0.0,57.0,39.0,1.0,,,,,,,,,,,,,,,,
1961-12-04T00:00:00,2318.0,GHCND:USW00013743,0.0,0.0,0.0,55.0,34.0,1.0,,,,,,,,,,,,,,,,
1961-12-05T00:00:00,1100.0,GHCND:USW00013743,0.0,0.0,0.0,61.0,36.0,,,1.0,,,,,,,,,,,,,,
1961-12-06T00:00:00,1018.0,GHCND:USW00013743,0.0,0.0,0.0,49.0,34.0,,,,,,,,,,,,,,,,,
1961-12-07T00:00:00,1406.0,GHCND:USW00013743,0.0,0.0,0.0,50.0,34.0,,,,,,,,,,,,,,,,,
1961-12-08T00:00:00,530.0,GHCND:USW00013743,0.0,0.0,0.0,39.0,30.0,,,,,,,,,,,,,,,,,
1961-12-09T00:00:00,18.0,GHCND:USW00013743,0.34,0.6,0.0,33.0,22.0,,1.0,1.0,1.0,,,,,,,,,,,,,
1961-12-10T00:00:00,100.0,GHCND:USW00013743,0.0,0.0,0.0,36.0,31.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-11T00:00:00,924.0,GHCND:USW00013743,0.2,0.0,0.0,47.0,34.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1961-12-12T00:00:00,1730.0,GHCND:USW00013743,0.43,0.0,0.0,45.0,41.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-13T00:00:00,742.0,GHCND:USW00013743,0.0,0.0,0.0,47.0,24.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-14T00:00:00,406.0,GHCND:USW00013743,0.0,0.0,0.0,36.0,22.0,,,,,,,,,,,,,,,,,
1961-12-15T00:00:00,906.0,GHCND:USW00013743,0.0,0.0,0.0,38.0,24.0,,,,,,,,,,,,,,,,,
1961-12-16T00:00:00,118.0,GHCND:USW00013743,0.48,0.0,0.0,33.0,19.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-17T00:00:00,1536.0,GHCND:USW00013743,0.27,0.0,0.0,37.0,30.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-18T00:00:00,1324.0,GHCND:USW00013743,0.61,0.0,0.0,43.0,36.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-19T00:00:00,2100.0,GHCND:USW00013743,0.0,0.0,0.0,43.0,39.0,,1.0,1.0,,,,,,,,,,,,,,
1961-12-20T00:00:00,1136.0,GHCND:USW00013743,0.0,0.0,0.0,48.0,34.0,,1.0,,,,,,,,,,,,,,,
1961-12-21T00:00:00,930.0,GHCND:USW00013743,0.0,0.0,0.0,41.0,33.0,,,,,,,,,,,,,,,,,
1961-12-22T00:00:00,1236.0,GHCND:USW00013743,0.0,0.0,0.0,40.0,28.0,1.0,,,,,,,,,,,,,,,,
1961-12-23T00:00:00,1936.0,GHCND:USW00013743,0.26,0.0,0.0,42.0,27.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
1961-12-24T00:00:00,2354.0,GHCND:USW00013743,0.13,0.5,0.0,35.0,31.0,,1.0,1.0,1.0,,,,,,,,,,,,,
1961-12-25T00:00:00,1030.0,GHCND:USW00013743,0.0,0.0,0.0,39.0,29.0,,,,,,,,,,,,,,,,,
1961-12-26T00:00:00,1312.0,GHCND:USW00013743,0.0,0.0,0.0,42.0,24.0,1.0,,,,,,,,,,,,,,,,
1961-12-27T00:00:00,1206.0,GHCND:USW00013743,0.0,0.0,0.0,55.0,29.0,,,1.0,,,,,,,,,,,,,,
1961-12-28T00:00:00,836.0,GHCND:USW00013743,0.16,0.1,0.0,41.0,28.0,,1.0,1.0,1.0,,,,,,,,,,,,,
1961-12-29T00:00:00,2230.0,GHCND:USW00013743,0.0,0.0,0.0,29.0,21.0,,,,1.0,,,,,,,,,,,,,
1961-12-30T00:00:00,1318.0,GHCND:USW00013743,0.0,0.0,0.0,33.0,19.0,,,,,,,,,,,,,,,,,
1962-10-01T00:00:00,1642.0,GHCND:USW00013743,0.0,0.0,0.0,75.0,50.0,1.0,1.0,,,,,,,,,,,,,,,
1962-10-02T00:00:00,818.0,GHCND:USW00013743,0.0,0.0,0.0,75.0,53.0,1.0,1.0,,,,,,,,,,,,,,,
1962-10-03T00:00:00,1418.0,GHCND:USW00013743,0.0,0.0,0.0,73.0,53.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1962-10-04T00:00:00,1412.0,GHCND:USW00013743,1.68,0.0,0.0,70.0,65.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1962-10-05T00:00:00,1024.0,GHCND:USW00013743,0.02,0.0,0.0,77.0,63.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1962-10-06T00:00:00,1454.0,GHCND:USW00013743,0.05,0.0,0.0,75.0,58.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
1962-10-07T00:00:00,1300.0,GHCND:USW00013743,0.0,0.0,0.0,76.0,59.0,1.0,,,,,,,,,,,,,,,,
1962-10-08T00:00:00,1818.0,GHCND:USW00013743,0.0,0.0,0.0,76.0,59.0,1.0,,1.0,,,,,,,,,,,,,,
1962-10-09T00:00:00,1206.0,GHCND:USW00013743,0.0,0.0,0.0,75.0,60.0,1.0,1.0,1.0,,,,,,,,,,,,,,
1962-10-10T00:00:00,918.0,GHCND:USW00013743,0.0,0.0,0.0,74.0,59.0,,,,,,,,,,,,,,,,,
